,Nombre del proyecto,Creador(a),Estatus,Ubicación (por estado),Descripción,Descripción (limpia),Palabras clave,Recaudado,Objetivo,Conteo de patrocinadores,Categoría
1338,KINGBOX (Canceled),REYES INDUSTRIES,Cancelado,Veracruz-Llave,ENTERTAINMENT CONSOLES,entertainment consoles,['consoles'],168,6000000,2,Juegos
1339,Amigo Toro,Luis Fernando Álvarez Santana,Fallido,Durango,"Artistic book obtained from oil Paintings, Story about friendship and complicity, love, Nature, respect Courage in bullfights, Art 100%",artistic book obtained oil paintings story friendship complicity love nature respect courage bullfights art,"['bullfights', 'book obtained']",168,350000,2,Editorial
1340,"Poesías románticas, filosóficas y otros poemas.",Francisco G. Infante,Fallido,Distrito Federal,Es sobre poesías que tratan acerca de temas relacionados a los aspectos románticos y filosóficos del ser en tiempos del posmodernismo.,poesías tratan acerca temas relacionados aspectos románticos filosóficos ser tiempos posmodernismo,"['tiempos', 'tratan acerca']",160,49000,2,Editorial
1341,El Errado de Chihuahua (Canceled),Martin Lozano,Cancelado,Chihuahua,"Sitio web de noticias ficticias enfocada a la población del norte de México, mas específicamente de Chihuahua con un enfoque de critica",sitio web noticias ficticias enfocada población norte méxico mas específicamente chihuahua enfoque critica,"['enfoque', 'web noticias']",138,1700,2,Editorial
1342,ARiS: Stickers & Wallpapers DIGITALES,Hennike Egeria,En curso,Mexico,¡Una pequeña compilación digital!,pequeña compilación digital,"['pequena', 'digital']",129,21700,2,Arte
1343,my first EP '' Nunca traicione a quien no lo merecía''.,Oscar Yair,Fallido,Baja California,I've been wanting to get a music project for more than 3 years but for lack of money I could not. That's why I'm looking for a support,ive wanting get music project years lack money could thats im looking support,['project years lack'],118,6500,2,Música
1344,Grabemos un Disco!! - Ikaro Aton (Canceled),Ikaro Aton,Cancelado,Distrito Federal,Quiero cumplir el sueño de grabar mi primer disco de 5 canciones... me ayudas?,quiero cumplir sueño grabar primer disco canciones ayudas,"['cumplir', 'canciones', 'sueno']",118,160000,2,Música
1345,Quimera Cómics: The Guardian/ El Guardián,ALAN OBESO,Fallido,Baja California,"A story of adventure, learning, and respect for living beings and the world",story adventure learning respect living beings world,"['adventure', 'living beings']",118,60000,2,Cómic
1346,Artesanías en Zongolica,Claudio Ruiz Velasco Rivera Melo,Fallido,Veracruz-Llave,Ayuda a comunidades indígenas a hacer su propia producción de artesanías,ayuda comunidades indígenas hacer propia producción artesanías,"['produccion', 'comunidades', 'propia']",118,2000000,2,Artesanía
1347,Quarantine Fire-Circus Entertainment!,Christian Trujeque/Kinich Balam Ahau,Fallido,Quintana Roo,Live Stream/Uploaded Online  Circus/Fire Performances and Workshops during the quarantine time and not being able to perform anywhere!,live streamuploaded online circusfire performances workshops quarantine time able perform anywhere,"['performances', 'perform', 'streamuploaded online']",118,30000,2,Arte
