,Proyecto,Autor(a),País,Descripción,Recaudación,Porcentaje,Vistas,Colaboradores,Categoría
1101,URBANA (GRABACIÓN DE CD),Vanina Tagini,Argentina,"Hola, soy Vanina Tagini, cantante, y quiero grabar mi álbum de tango Urbana, pero para eso necesito tu colaboración.",15686,48,1700,13,Música
1102,"""OÍR E IR"" - RODRIGO CARAZO",Rodrigo Carazo,Argentina,"""Oír e ir"" es mi nuevo disco, donde entrego toda mi búsqueda artística y personal. Te invito a participar del financiamiento Y que Suene!!!",7118,48,9900,100,Música
1103,"ÁFRICA, BARRIENDO FRONTERAS",Nacho,Argentina,"Libro de crónicas de viaje por la ruta ""Cape to Cairo"", cruzando todo el continente de punta a punta, por tierra y en transporte público.",6275,48,7500,58,Editorial
1104,EL PISO PARA NUESTRA SALA.,LibelulaSur Teatro,Argentina,Somos LibelulaSur un grupo de teatro independiente y necesitamos de VOS para generar un espacio cultural en nuestro pueblo.,28023,48,3400,20,Artes escénicas
1105,LAS PRECIOSAS RIDÍCULAS,María Eugenia Heyaca,Argentina,Una farsa se Molière. AQUI NO SE AMA MAS QUE A LA VANA APARIENCIA.,1152,48,7900,12,Artes escénicas
1106,OJO DE MAR (DOCUMENTAL),Ojo de Mar,Argentina,"En las cordilleras del norte neuquino, con sus cuatro estaciones marcadas, una cultura genuina resiste a desaparecer en el tiempo.",7642,48,17400,35,Cine y video
1107,MIENTRAS ESPERAMOS,Malena Noel,Argentina,"""Mientras esperamos"" es un proyecto de cortometraje de alumnos de la Universidad del Cine.",1578,48,2500,12,Cine y video
1108,MADRE MAÑANA,Madre Mañana,Argentina,"Es un cortometraje de Ficción a filmarse en la localidad de Azul, realizado por estudiantes de la Universidad del Cine.",3608,48,7200,137,Cine y video
1109,DOS AÑOS DE VERO VIRA!,verónica virasoro,Argentina,"Sigamos haciendo entre tod@s prendas de excelente calidad, diseños simples y urbanos producidos con conciencia, amor, arte y dedicación!",6196,47,5500,49,Diseño
1110,SRL LA SERIE,SRL La Serie,Argentina,En el día de integración de una empresa pasan cosas bizarras. Serie de humor sobre la manipulación y alienación laboral.,3882,47,5800,278,Cine y video
1111,JUAN EL PIZZERO - SERIE WEB,Belu Morinigo,Argentina,"Un joven pizzero vivirá desopilantes aventuras pero todo cambiará cuando se entere del malvado plan de su intendenta, para ser reelecta",1879,47,1700,19,Cine y video
1112,EL CULTIVADO,EL CULTIVADO,Argentina,El cultivado es un mediometraje ficcional que desde la comedia negra trata las tensiones existentes entre las clases sociales.,1536,47,723,4,Cine y video
1113,TRIP-SHIRT,Lorena Valente Pagani,Argentina,"En TRIP-SHIRT diseñamos, creamos y comercializamos accesorios para viaje. Hoy queremos contarte sobre nuestra funda para maletas",28807,47,7100,20,Diseño
1114,ANIDEAME ¡CD DEBUT DE ANIDEA!,ANIDEA,Argentina,Necesitamos tu colaboración para financiar el lanzamiento de nuestro álbum ¡Anideate con las hermosas recompensas que preparamos para vos!,7696,47,2400,36,Música
1115,VISTIENDO A SILENCIO MARIPOSA,Compañía Nuda,Argentina,"Compañía NUDA necesita VESTUARIOS para su espectáculo ""Silencio Mariposa"". Ayudanos a no estar des-NUDAS! y masterizar la música ORIGINAL!",3121,47,6100,50,Artes escénicas
1116,EXPOSICION DE ARTE,marubluth,Argentina,"Quiero que más gente conozca mi arte, transmitir mi manera de sentir y asi lograr un vínculo de identificación y comprensión con el otro.",2505,47,11600,227,Artes visuales
1117,GRABAMOS NUESTRO PRIMER ÁLBUM!,andres5279,Argentina,Ayudanos a cumplir nuestro sueño y se parte de este proyecto solidario!!!!,10899,47,15000,64,Música
1118,MADRES DE PLAZA DE MAYO,Mónica Hasenberg,Argentina,Mi proyecto es ampliar la muestra fotográfica: Madres de Plaza de Mayo y la Resistencia Popular sumándole 10 paneles de fotografías inéditas,1536,47,4900,38,Artes visuales
