,Proyecto,Autor(a),País,Descripción,Descripción (limpia),Palabras clave,Recaudación,Porcentaje,Vistas,Colaboradores,Categoría
1012,VITALICIO,Bingo!,Argentina,Cortometraje de ficción realizado por un grupo de estudiantes de Diseño de Imagen y Sonido (FADU - UBA).,cortometraje ficción realizado grupo estudiantes diseño imagen sonido fadu uba, fadu   ficcion realizado ,1918,58,6600,291,Cine y video
1013,TERRAMANOS,Lobo Negro Films,Colombia,Un documental de 24 minutos: El hombre y la naturaleza | 3 campesinos colombianos | 3 zonas climáticas | 3 modos de vivir | 1 solo país.,documental minutos hombre naturaleza campesinos colombianos zonas climáticas modos vivir solo país, solo   minutos hombre ,3511,58,7200,12,Cine y video
1014,PÁJAROS NEGROS-JENNIFER BARÓN,jenbaron,Argentina,"Quiero editar físicamente mi segundo disco, Pájaros Negros.",quiero editar físicamente segundo disco pájaros negros, editar   pajaros   disco ,9556,58,8300,59,Música
1015,DAS MODELL,Diego Agurto,Chile,"Puesta en escena interdisciplinaria a estrenarse el 4 de Julio en Teatro Huemul, que profundiza en la relación Belleza / Mercado / Género.",puesta escena interdisciplinaria estrenarse julio teatro huemul profundiza relación belleza mercado género, escena   belleza mercado ,16731,58,5200,24,Artes escénicas
1016,PRIMER DISCO DE CARAVACA!,Pablo Caravaca,Argentina,"Después de 2 años trabajando duro para llegar a editar nuestro primer disco, te pedimos que nos des un empujoncito final de rock brutal!",después años trabajando duro llegar editar primer disco pedimos des empujoncito final rock brutal, rock   anos trabajando ,7497,57,15100,80,Música
1017,RELOJ SIN TIEMPO,Reloj sin tiempo,Argentina,Reloj sin tiempo es una propuesta pensada para tener lugar en Fuego Austral. Consiste en una estructura con forma de reloj de arena .,reloj tiempo propuesta pensada tener lugar fuego austral consiste estructura forma reloj arena, reloj   lugar fuego ,1879,57,1300,14,Diseño
1018,DANISA FAGAN,DANISA,Argentina,The World of Romance .Primer disco solista. Un collage atravesado por la sensibilidad del Jazz,world romance primer disco solista collage atravesado sensibilidad jazz, romance   atravesado sensibilidad ,3382,57,4000,17,Música
1019,"CORTOMETRAJE ""LA DESPEDIDA""",Ian Mendoza,México,Este es un cortometraje que empezó como un loco sueño y ahora pretende ser una realidad. Buscamos financiamiento para poder llevarlo a cabo.,cortometraje empezó loco sueño ahora pretende ser realidad buscamos financiamiento poder llevarlo cabo, empezo   poder llevarlo ,2000,57,2100,8,Cine y video
1020,VIAJE USTED | ECOLECUÁ,Lucho,Argentina,Somos una murga estilo uruguaya y estamos terminando nuestro primer espectáculo. ¿Nos ayudás?,murga estilo uruguaya terminando primer espectáculo ayudás, espectaculo   estilo   primer ,9379,57,2800,33,Música
1021,LAS 4 ESTACIONES SANTIAGUEÑAS,Ezequiel Infante,Argentina,"""Las 4 estaciones santiagueñas"" es una obra integral compuesta por 11 temas. Esta obra evoca impresiones sobre la cultura santiagueña.",estaciones santiagueñas obra integral compuesta temas obra evoca impresiones cultura santiagueña, santiaguenas obra   santiaguena   cultura ,5605,57,4000,63,Música
1022,"""MAMÁ"" DE BORIS FILMS",Boris,Argentina,"Cuando se rompe lo cotidiano, llegan las cenizas. La incomprensible muerte de una madre. Cortometraje live action sobre el duelo.",rompe cotidiano llegan cenizas incomprensible muerte madre cortometraje live action duelo, cotidiano   live action ,2353,57,2800,9,Cine y video
1023,"""CAMILLE"" - CORTOMETRAJE",Cadaeic & Loewensberg,Argentina,Un cortometraje que narra el drama familiar que surge durante el periplo de Lucía por cumplirle una promesa a su hija Camille.,cortometraje narra drama familiar surge periplo lucía cumplirle promesa hija camille, hija   narra drama ,5654,57,4900,24,Cine y video
1024,PROYECTO L,RealizacionesArs,Argentina,Es la introducción a una saga de ficción acerca de un conflicto entre antiguas entidades desarrollándose en la actualidad.,introducción saga ficción acerca conflicto antiguas entidades desarrollándose actualidad, desarrollandose   saga   entidades ,931,57,4300,14,Cine y video
1025,FIESTA NIBIRU,FIESTA NIBIRU,Uruguay,"Largometraje de ciencia ficción, terror y humor negro de Manuel Facal, director de ""Relocos y Repasados"" y ""Achuras 2""",largometraje ciencia ficción terror humor negro manuel facal director relocos repasados achuras, ciencia   repasados   ficcion ,16860,57,11600,39,Cine y video
1026,NEPTUNIA,NEPTUNIA,Uruguay,Neptunia es una película episódica de comedia/ciencia ficción escrita por algunas de las mentes detrás del programa de humor Finoli Finoli,neptunia película episódica comediaciencia ficción escrita mentes detrás programa humor finoli finoli, pelicula   episodica comediaciencia ,33299,57,21500,51,Cine y video
1027,COMICO Y MUSICAL SHOW DE HUMOR,Best Buddies Argentina,Argentina,Cómico Y Musical es un espectáculo humorístico con un elenco conformado por artístas con y sin discapacidad intelectual.,cómico musical espectáculo humorístico elenco conformado artístas discapacidad intelectual, discapacidad   musical   espectaculo ,7516,57,8500,51,Artes escénicas
